year,round,driver,percThrottle,maxSpeed
2019,1,44,0.7065868263473054,320
2019,1,77,0.7039274924471299,322
2019,1,16,0.7023809523809523,320
2019,1,27,0.6862170087976539,322
2019,1,8,0.7272727272727273,319
2019,1,4,0.7017543859649122,321
2019,1,11,0.6842105263157895,322
2019,1,18,0.6676384839650146,322
2019,1,63,0.670487106017192,319
2019,2,44,0.6356164383561644,324
2019,2,77,0.6336088154269972,324
2019,2,16,0.6456043956043956,328
2019,2,27,0.6290322580645161,325
2019,2,8,0.6539509536784741,322
2019,2,4,0.6277173913043478,323
2019,2,11,0.6270270270270271,325
2019,2,18,0.6129032258064516,327
2019,2,63,0.5989445910290238,325
2019,3,44,0.5866666666666667,321
2019,3,77,0.5946666666666667,320
2019,3,16,0.5706666666666667,328
2019,3,27,0.5736842105263158,323
2019,3,8,0.5833333333333334,326
2019,3,4,0.5544041450777202,318
2019,3,11,0.561038961038961,322
2019,3,18,0.5636363636363636,321
2019,3,63,0.5526992287917738,319
2019,4,44,0.6201923076923077,332
2019,4,77,0.6442307692307693,331
2019,4,16,0.6004728132387707,336
2019,4,27,0.6103286384976526,331
2019,4,8,0.5915492957746479,335
2019,4,4,0.6294536817102138,331
2019,4,11,0.6104513064133017,335
2019,4,18,0.6113744075829384,332
2019,4,63,0.6111111111111112,330
2019,5,44,0.632398753894081,320
2019,5,77,0.6561514195583596,320
2019,5,16,0.6024844720496895,322
2019,5,27,0.6141975308641975,321
2019,5,8,0.6614906832298136,319
2019,5,4,0.6206896551724138,321
2019,5,11,0.5981308411214953,326
2019,5,18,0.595679012345679,323
2019,5,63,0.5766871165644172,320
2019,6,44,0.44982698961937717,291
2019,6,77,0.4413793103448276,290
2019,6,16,0.4006734006734007,294
2019,6,27,0.3952702702702703,292
2019,6,8,0.44107744107744107,290
2019,6,4,0.40404040404040403,294
2019,6,11,0.411371237458194,297
2019,6,18,0.3953488372093023,295
2019,6,63,0.4131147540983607,290
2019,7,44,0.6460481099656358,328
2019,7,77,0.6313993174061433,332
2019,7,16,0.6301369863013698,333
2019,7,27,0.6292517006802721,330
2019,7,8,0.48936170212765956,331
2019,7,4,0.6351351351351351,325
2019,7,11,0.6161616161616161,335
2019,7,18,0.6208053691275168,332
2019,7,63,0.5960264900662252,330
2019,8,44,0.6263736263736264,340
2019,8,77,0.6376021798365122,340
2019,8,16,0.6438356164383562,340
2019,8,27,0.6096256684491979,338
2019,8,8,0.626984126984127,329
2019,8,4,0.6413043478260869,334
2019,8,11,0.606951871657754,342
2019,8,18,0.5947368421052631,338
2019,8,63,0.6031331592689295,332
2019,9,44,0.7083333333333334,327
2019,9,77,0.7169811320754716,325
2019,9,16,0.7186311787072244,330
2019,9,27,0.7047970479704797,326
2019,9,8,0.7343173431734318,316
2019,9,4,0.7052238805970149,324
2019,9,11,0.6974169741697417,327
2019,9,18,0.706959706959707,326
2019,9,63,0.6630434782608695,330
2019,10,44,0.7110481586402266,330
2019,10,77,0.717948717948718,328
2019,10,16,0.7329545454545454,333
2019,10,27,0.6862745098039216,337
2019,10,8,0.7222222222222222,328
2019,10,4,0.6946778711484594,330
2019,10,11,0.7094972067039106,331
2019,10,18,0.6955307262569832,327
2019,10,63,0.6712707182320442,330
2019,11,44,0.6677966101694915,325
2019,11,77,0.6655405405405406,329
2019,11,16,0.6510067114093959,330
2019,11,27,0.6766666666666666,331
2019,11,8,0.697986577181208,328
2019,11,4,0.6490066225165563,327
2019,11,11,0.6721854304635762,328
2019,11,18,0.6348684210526315,328
2019,11,63,0.6384364820846905,330
2019,12,44,0.5566343042071198,317
2019,12,77,0.5584415584415584,317
2019,12,16,0.5451612903225806,322
2019,12,27,0.5443037974683544,324
2019,12,8,0.5608974358974359,316
2019,12,4,0.5480769230769231,317
2019,12,11,0.550314465408805,324
2019,12,18,0.540625,323
2019,12,63,0.5566037735849056,315
2019,13,44,0.6635730858468677,332
2019,13,77,0.6751740139211136,335
2019,13,16,0.6455399061032864,345
2019,13,27,0.6344827586206897,339
2019,13,8,0.667420814479638,340
2019,13,4,0.6545454545454545,333
2019,13,11,0.6459770114942529,338
2019,13,18,0.6317016317016317,337
2019,13,63,0.634090909090909,333
2019,14,44,0.7673716012084593,345
2019,14,77,0.7680722891566265,335
2019,14,16,0.7250755287009063,354
2019,14,27,0.7537537537537538,348
2019,14,8,0.7341389728096677,347
2019,14,4,0.7349397590361446,335
2019,14,11,0.7327327327327328,350
2019,14,18,0.7392638036809815,349
2019,14,63,0.7492537313432835,345
2019,15,44,0.4659949622166247,319
2019,15,77,0.4575,318
2019,15,16,0.4696969696969697,322
2019,15,27,0.4640198511166253,320
2019,15,8,0.4648910411622276,319
2019,15,4,0.4666666666666667,320
2019,15,11,0.4430693069306931,323
2019,15,18,0.4368932038834951,322
2019,15,63,0.43341404358353514,317
2019,16,44,0.6754617414248021,326
2019,16,77,0.65625,324
2019,16,16,0.6604774535809018,330
2019,16,27,0.6580310880829016,324
2019,16,8,0.6709844559585493,330
2019,16,4,0.6632124352331606,327
2019,16,11,0.6503856041131105,329
2019,16,18,0.6298200514138818,332
2019,16,63,0.6303797468354431,331
2019,17,44,0.6493150684931507,329
2019,17,77,0.674863387978142,329
2019,17,16,0.6520547945205479,333
2019,17,27,0.6176470588235294,331
2019,17,8,0.6810810810810811,328
2019,17,4,0.6621621621621622,328
2019,17,11,0.582010582010582,334
2019,17,18,0.6290322580645161,333
2019,17,63,0.6356382978723404,329
2019,18,44,0.487012987012987,350
2019,18,77,0.4788273615635179,343
2019,18,16,0.49019607843137253,358
2019,18,27,0.4968152866242038,346
2019,18,8,0.45482866043613707,354
2019,18,4,0.48717948717948717,343
2019,18,11,0.473015873015873,355
2019,18,18,0.47335423197492166,353
2019,18,63,0.4670846394984326,347
2019,19,44,0.6088082901554405,324
2019,19,77,0.6088082901554405,325
2019,19,16,0.6149870801033591,323
2019,19,27,0.6108247422680413,324
2019,19,8,0.6342710997442456,319
2019,19,4,0.6081424936386769,322
2019,19,11,0.5583756345177665,322
2019,19,18,0.5641025641025641,328
2019,19,63,0.5848101265822785,325
2019,20,44,0.6187050359712231,330
2019,20,77,0.6129032258064516,327
2019,20,16,0.6115107913669064,334
2019,20,27,0.624113475177305,328
2019,20,8,0.6312056737588653,330
2019,20,4,0.6148409893992933,327
2019,20,11,0.6056338028169014,329
2019,20,18,0.5888501742160279,330
2019,20,63,0.5972222222222222,325
2019,21,44,0.5938303341902313,323
2019,21,77,0.5794871794871795,326
2019,21,16,0.5681233933161953,331
2019,21,27,0.5833333333333334,326
2019,21,8,0.5771144278606966,329
2019,21,4,0.5656565656565656,324
2019,21,11,0.5653266331658291,328
2019,21,18,0.5825,326
2019,21,63,0.538083538083538,330
2020,1,63,0.6966292134831461,319
2020,1,77,0.7153846153846154,323
2020,1,5,0.7169811320754716,318
2020,1,16,0.7300380228136882,315
2020,1,33,0.7394636015325671,323
2020,1,23,0.6730038022813688,322
2020,1,55,0.7234848484848485,321
2020,1,4,0.6984732824427481,322
2020,1,3,0.690566037735849,323
2020,1,31,0.6940298507462687,317
2020,1,26,0.7234848484848485,325
2020,1,10,0.7245283018867924,323
2020,1,7,0.664179104477612,326
2020,1,99,0.6654275092936803,327
2020,1,20,0.667910447761194,324
2020,1,6,0.7047970479704797,320
2020,2,63,0.4603658536585366,295
2020,2,77,0.4078549848942598,294
2020,2,5,0.4421364985163205,288
2020,2,16,0.4617737003058104,293
2020,2,33,0.45180722891566266,290
2020,2,23,0.4166666666666667,290
2020,2,55,0.4484848484848485,288
2020,2,4,0.44879518072289154,290
2020,2,3,0.40718562874251496,294
2020,2,31,0.4114114114114114,290
2020,2,26,0.49696969696969695,290
2020,2,10,0.4307228915662651,290
2020,2,7,0.48059701492537316,289
2020,2,99,0.4362017804154303,294
2020,2,20,0.45317220543806647,288
2020,2,6,0.4124629080118694,293
2020,3,63,0.5705128205128205,315
2020,3,77,0.5530546623794212,321
2020,3,5,0.6012658227848101,313
2020,3,16,0.5841269841269842,314
2020,3,33,0.580952380952381,321
2020,3,23,0.5466237942122186,320
2020,3,55,0.5746031746031746,320
2020,3,4,0.5523809523809524,319
2020,3,3,0.5305466237942122,320
2020,3,31,0.5384615384615384,317
2020,3,26,0.569620253164557,320
2020,3,10,0.5769230769230769,316
2020,3,7,0.5365079365079365,317
2020,3,99,0.560126582278481,321
2020,3,20,0.554140127388535,320
2020,3,6,0.5509554140127388,321
2020,4,63,0.6805555555555556,319
2020,4,77,0.6923076923076923,318
2020,4,5,0.702247191011236,319
2020,4,16,0.6912181303116147,318
2020,4,33,0.7195467422096318,317
2020,4,23,0.6722689075630253,313
2020,4,55,0.7175141242937854,316
2020,4,4,0.7005649717514124,316
2020,4,3,0.6751412429378532,323
2020,4,31,0.6619718309859155,320
2020,4,26,0.7186629526462396,318
2020,4,10,0.7198879551820728,319
2020,4,7,0.6861111111111111,313
2020,4,99,0.7075208913649025,312
2020,4,20,0.7067039106145251,317
2020,4,6,0.6878453038674033,318
2020,5,63,0.6897506925207756,327
2020,5,77,0.7097701149425287,332
2020,5,5,0.6946778711484594,332
2020,5,16,0.704225352112676,325
2020,5,33,0.7005649717514124,329
2020,5,23,0.6918767507002801,328
2020,5,55,0.6927374301675978,330
2020,5,4,0.6845070422535211,331
2020,5,3,0.6836158192090396,335
2020,5,31,0.6685393258426966,331
2020,5,26,0.6897506925207756,336
2020,5,10,0.7070422535211267,330
2020,5,7,0.6942148760330579,332
2020,5,99,0.6813186813186813,331
2020,5,20,0.6850828729281768,329
2020,5,6,0.6749311294765841,326
2020,6,63,0.6055900621118012,325
2020,6,77,0.6506410256410257,322
2020,6,5,0.6403785488958991,322
2020,6,16,0.6498422712933754,316
2020,6,33,0.6496815286624203,319
2020,6,23,0.6214511041009464,318
2020,6,55,0.6182965299684543,326
2020,6,4,0.6182965299684543,324
2020,6,3,0.5962145110410094,324
2020,6,31,0.5943396226415094,322
2020,6,26,0.6246056782334385,325
2020,6,10,0.6277602523659306,324
2020,6,7,0.6238244514106583,325
2020,6,99,0.6030769230769231,324
2020,6,20,0.621875,323
2020,6,6,0.6130030959752322,319
2020,7,63,0.6894117647058824,332
2020,7,77,0.7119047619047619,329
2020,7,5,0.6957547169811321,332
2020,7,16,0.6832151300236406,333
2020,7,33,0.7095238095238096,329
2020,7,23,0.7016706443914081,331
2020,7,55,0.7040572792362768,333
2020,7,4,0.7099056603773585,325
2020,7,3,0.69377990430622,337
2020,7,31,0.6643026004728132,334
2020,7,26,0.6943127962085308,338
2020,7,10,0.6761229314420804,335
2020,7,7,0.676056338028169,335
2020,7,99,0.6791569086651054,334
2020,7,20,0.6790697674418604,325
2020,7,6,0.6752336448598131,334
2020,8,63,0.7662721893491125,339
2020,8,77,0.7852760736196319,338
2020,8,5,0.7440476190476191,337
2020,8,16,0.7575757575757576,341
2020,8,33,0.7720364741641338,340
2020,8,23,0.7484848484848485,341
2020,8,55,0.7652439024390244,342
2020,8,4,0.7507598784194529,341
2020,8,3,0.7545454545454545,346
2020,8,31,0.7363636363636363,343
2020,8,26,0.7787878787878788,345
2020,8,10,0.7492447129909365,343
2020,8,7,0.7507507507507507,348
2020,8,99,0.7253731343283583,345
2020,8,20,0.625,340
2020,8,6,0.75,341
2020,9,63,0.694006309148265,317
2020,9,77,0.7202572347266881,315
2020,9,5,0.7129337539432177,310
2020,9,16,0.7229299363057324,312
2020,9,33,0.7275641025641025,314
2020,9,23,0.7229299363057324,316
2020,9,55,0.6791277258566978,315
2020,9,4,0.7129337539432177,319
2020,9,3,0.689873417721519,321
2020,9,31,0.6666666666666666,317
2020,9,26,0.7210031347962382,320
2020,9,10,0.6962025316455697,320
2020,9,7,0.6908517350157729,321
2020,9,99,0.6971608832807571,321
2020,9,20,0.7044025157232704,313
2020,9,6,0.678125,319
2020,10,63,0.6484375,331
2020,10,77,0.6657894736842105,331
2020,10,5,0.6726804123711341,323
2020,10,16,0.6683937823834197,324
2020,10,33,0.6746031746031746,327
2020,10,23,0.6570680628272252,322
2020,10,55,0.6745406824146981,325
2020,10,4,0.6596858638743456,326
2020,10,3,0.6492146596858639,329
2020,10,31,0.6649214659685864,327
2020,10,26,0.6588541666666666,328
2020,10,10,0.6631853785900783,330
2020,10,7,0.6472081218274112,325
2020,10,99,0.6623711340206185,327
2020,10,20,0.6478149100257069,326
2020,10,6,0.6454081632653061,328
2020,11,63,0.5694444444444444,318
2020,11,77,0.59375,321
2020,11,5,0.5905292479108635,313
2020,11,16,0.6123595505617978,314
2020,11,33,0.5977337110481586,314
2020,11,23,0.5790960451977402,314
2020,11,55,0.6005586592178771,318
2020,11,4,0.6050420168067226,317
2020,11,3,0.5774647887323944,316
2020,11,31,0.5617977528089888,317
2020,11,26,0.6138888888888889,316
2020,11,10,0.5921787709497207,315
2020,11,7,0.5706371191135734,313
2020,11,99,0.5817174515235457,313
2020,11,20,0.5944444444444444,313
2020,11,6,0.569060773480663,315
2020,12,63,0.6018808777429467,324
2020,12,77,0.6656050955414012,321
2020,12,5,0.6540880503144654,321
2020,12,16,0.6719745222929936,316
2020,12,33,0.6805111821086262,315
2020,12,23,0.6412698412698413,315
2020,12,55,0.6446540880503144,323
2020,12,4,0.6329113924050633,321
2020,12,3,0.6477987421383647,321
2020,12,31,0.6238244514106583,324
2020,12,26,0.6487341772151899,322
2020,12,10,0.6424050632911392,322
2020,12,7,0.6439628482972136,322
2020,12,99,0.6408668730650154,323
2020,12,20,0.6594427244582043,318
2020,12,6,0.6222910216718266,323
2020,13,63,0.6903225806451613,324
2020,13,77,0.7266666666666667,328
2020,13,5,0.7175324675324676,322
2020,13,16,0.7540983606557377,322
2020,13,33,0.7293729372937293,319
2020,13,23,0.7114754098360656,322
2020,13,55,0.7287581699346405,325
2020,13,4,0.7311475409836066,325
2020,13,3,0.7180327868852459,327
2020,13,31,0.6828478964401294,328
2020,13,26,0.740983606557377,322
2020,13,10,0.7114754098360656,326
2020,13,7,0.7161290322580646,325
2020,13,99,0.7051282051282052,320
2020,13,20,0.7249190938511327,320
2020,13,6,0.6891025641025641,329
2020,14,63,0.16353383458646617,289
2020,14,77,0.2915766738660907,300
2020,14,5,0.2851063829787234,291
2020,14,16,0.28451882845188287,292
2020,14,33,0.37104072398190047,291
2020,14,23,0.32891832229580575,291
2020,14,55,0.2823779193205945,295
2020,14,4,0.2777777777777778,294
2020,14,3,0.3092105263157895,296
2020,14,31,0.28633405639913234,293
2020,14,26,0.18371212121212122,293
2020,14,10,0.2800829875518672,293
2020,14,7,0.31896551724137934,292
2020,14,99,0.2494802494802495,297
2020,14,20,0.17782026768642448,288
2020,14,6,0.09482758620689655,279
2020,15,63,0.5771276595744681,327
2020,15,77,0.667590027700831,322
2020,15,5,0.654891304347826,322
2020,15,16,0.6504065040650406,325
2020,15,33,0.6648199445983379,319
2020,15,23,0.6456043956043956,323
2020,15,55,0.6331521739130435,326
2020,15,4,0.6465753424657534,322
2020,15,3,0.6401098901098901,324
2020,15,31,0.6236263736263736,326
2020,15,26,0.673972602739726,324
2020,15,10,0.6465753424657534,322
2020,15,7,0.6297297297297297,327
2020,15,99,0.6205962059620597,325
2020,15,20,0.6155913978494624,323
2020,15,6,0.6283422459893048,325
2020,16,63,0.7104072398190046,325
2020,16,77,0.6923076923076923,328
2020,16,5,0.6964285714285714,326
2020,16,16,0.7058823529411765,327
2020,16,33,0.7013574660633484,322
2020,16,23,0.6905829596412556,320
2020,16,55,0.6877828054298643,327
2020,16,4,0.668141592920354,324
2020,16,3,0.6636771300448431,331
2020,16,31,0.6607142857142857,331
2020,16,26,0.6787330316742082,329
2020,16,10,0.6771300448430493,330
2020,16,7,0.68,324
2020,16,99,0.6622222222222223,330
2020,16,20,0.6696428571428571,336
2020,16,6,0.6488888888888888,336
2020,17,63,0.5361596009975063,324
2020,17,77,0.5974358974358974,323
2020,17,5,0.6045340050377834,320
2020,17,16,0.5989847715736041,320
2020,17,33,0.6020408163265306,321
2020,17,23,0.5710659898477157,323
2020,17,55,0.583756345177665,324
2020,17,4,0.5892857142857143,325
2020,17,3,0.5707070707070707,326
2020,17,31,0.5378787878787878,325
2020,17,26,0.5989847715736041,319
2020,17,10,0.5862944162436549,321
2020,17,7,0.555,330
2020,17,99,0.5632754342431762,323
2020,17,20,0.5696517412935324,325
2020,17,6,0.5409429280397022,328
2021,1,44,0.6327077747989276,314
2021,1,77,0.6219839142091153,312
2021,1,11,0.616,310
2021,1,3,0.606951871657754,315
2021,1,4,0.6016042780748663,316
2021,1,5,0.599476439790576,318
2021,1,14,0.6276595744680851,314
2021,1,31,0.5800524934383202,318
2021,1,16,0.6470588235294118,316
2021,1,55,0.6426666666666667,314
2021,1,10,0.6106666666666667,318
2021,1,9,0.5695876288659794,325
2021,1,63,0.5449871465295629,313
2021,1,6,0.5916230366492147,319
2021,2,44,0.7272727272727273,322
2021,2,77,0.7307692307692307,319
2021,2,11,0.7119741100323624,323
2021,2,3,0.7459807073954984,324
2021,2,4,0.7064516129032258,320
2021,2,5,0.7070063694267515,321
2021,2,14,0.7165605095541401,327
2021,2,31,0.717948717948718,325
2021,2,16,0.752411575562701,320
2021,2,55,0.7307692307692307,321
2021,2,10,0.7243589743589743,322
2021,2,9,0.6635220125786163,324
2021,2,63,0.6955128205128205,327
2021,2,6,0.6910828025477707,324
2021,3,44,0.6153846153846154,317
2021,3,77,0.6111111111111112,314
2021,3,11,0.5920245398773006,315
2021,3,3,0.6054216867469879,317
2021,3,4,0.6055045871559633,315
2021,3,5,0.595166163141994,323
2021,3,14,0.5891238670694864,319
2021,3,31,0.5835866261398176,320
2021,3,16,0.6128048780487805,314
2021,3,55,0.6128048780487805,315
2021,3,10,0.601823708206687,315
2021,3,9,0.5625,316
2021,3,63,0.5835866261398176,326
2021,3,6,0.5778443113772455,321
2021,4,44,0.6363636363636364,316
2021,4,77,0.6426332288401254,316
2021,4,11,0.6346749226006192,318
2021,4,3,0.6099071207430341,318
2021,4,4,0.6049382716049383,315
2021,4,5,0.5975232198142415,323
2021,4,14,0.6104294478527608,319
2021,4,31,0.5789473684210527,320
2021,4,16,0.639751552795031,318
2021,4,55,0.6428571428571429,315
2021,4,10,0.6160990712074303,313
2021,4,9,0.5212121212121212,326
2021,4,63,0.5775075987841946,315
2021,4,6,0.5792682926829268,321
2021,5,44,0.44932432432432434,289
2021,5,77,0.4489795918367347,288
2021,5,11,0.4478114478114478,287
2021,5,3,0.4161073825503356,290
2021,5,4,0.43197278911564624,286
2021,5,5,0.42424242424242425,288
2021,5,14,0.43478260869565216,289
2021,5,31,0.42424242424242425,289
2021,5,16,0.45051194539249145,287
2021,5,55,0.4421768707482993,288
2021,5,10,0.4542372881355932,286
2021,5,9,0.38283828382838286,287
2021,5,63,0.44481605351170567,290
2021,5,6,0.4266666666666667,291
2021,6,44,0.6202830188679245,334
2021,6,77,0.627039627039627,324
2021,6,11,0.6217494089834515,329
2021,6,3,0.6051401869158879,326
2021,6,4,0.624113475177305,325
2021,6,5,0.6032863849765259,327
2021,6,14,0.6282352941176471,334
2021,6,31,0.6032863849765259,333
2021,6,16,0.6238095238095238,333
2021,6,55,0.6232227488151659,327
2021,6,10,0.6288416075650118,329
2021,6,9,0.5866050808314087,326
2021,6,63,0.6135831381733021,328
2021,6,6,0.0,0
2021,7,44,0.616,325
2021,7,77,0.6090425531914894,327
2021,7,11,0.6074270557029178,328
2021,7,3,0.6167979002624672,326
2021,7,4,0.6078947368421053,326
